scrape_order,search_link,product_link,brand,product_name,ukuran_porsi,energi,lemak,lemak_jenuh,lemak_trans,kolestrol,protein,karbohirdat,serat,gula,sodium,kalium,natrium,karbohidrat
1715569705-3651,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/salad-dressing-thousand-island/1-porsi,Kewpie,Salad Dressing Thousand Island,1 porsi (25 ml),70_kkal,"5,00g","1,000g",0,0,"0,00g",0,0,"4,00g",430mg,0,0,0
1715569705-3652,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/olesan-sandwich/1-porsi,Kewpie,Olesan Sandwich,1 porsi (15 g),70_kkal,"6,00g",0,0,0,"0,00g",0,0,0,85mg,0,0,0
1715569705-3653,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/tasty-dressing-mentaiko/1-porsi,Kewpie,Tasty Dressing Mentaiko,1 porsi (15 g),68_kkal,"7,00g",0,0,0,"0,00g",0,0,"1,00g",225mg,0,0,0
1715569705-3654,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/saus-manis-vanilla-matcha/1-sdm,Kewpie,Saus Manis Vanilla Matcha,1 sdm (15 g),90_kkal,"6,00g",0,0,0,"0,00g",0,0,0,0,0,0,0
1715569705-3655,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/spicy-tomato/1-serving,Kewpie,Spicy Tomato,1 serving (25 ml),80_kkal,"5,00g","1,000g",0,0,"0,00g",0,0,"6,00g",590mg,0,0,0
1715569705-3656,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/salad-dressing-kecap-ala-jepang/1-porsi,Kewpie,Salad Dressing Kecap Ala Jepang,1 tbsp (25 ml),90_kkal,"5,00g","1,500g","0,000g",0,"1,00g",0,"0,0g","3,00g",440mg,0mg,0,0
1715569705-3657,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/japanese-mayonnaise/1-porsi,Kewpie,Japanese Mayonnaise,1 porsi (15 g),100_kkal,"11,00g",0,0,0,"0,00g",0,"0,0g","0,00g",105mg,0mg,0,0
1715569705-3658,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/saus-manis-cokelat-pisang/1-porsi,Kewpie,Saus Manis Cokelat Pisang,1 porsi (15 g),90_kkal,"6,00g",0,0,0,"1,00g",0,0,0,0,0,0,0
1715569705-3659,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/saus-siram-thousand-island/1-packet,Kewpie,Saus Siram Thousand Island,1 packet (25 ml),70_kkal,"6,00g",0,0,0,"1,00g",0,0,0,260mg,0,0,0
1715569705-3660,https://www.fatsecret.co.id/kalori-gizi/search?q=Kewpie,https://www.fatsecret.co.id/kalori-gizi/kewpie/thousand-island-dressing/1-sdm,Kewpie,Thousand Island Dressing,1 sdm (15 g),58_kkal,"6,00g","0,000g","0,000g",0,"0,00g",0,"0,0g","0,00g",115mg,0,0,0
